TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
dbo,vDMPrep,EnglishProductCategoryName,nvarchar,50,NO
dbo,vDMPrep,Model,nvarchar,50,YES
dbo,vDMPrep,CustomerKey,int,,NO
dbo,vDMPrep,Region,nvarchar,50,YES
dbo,vDMPrep,Age,int,,YES
dbo,vDMPrep,IncomeGroup,varchar,8,NO
dbo,vDMPrep,CalendarYear,smallint,,NO
dbo,vDMPrep,FiscalYear,smallint,,NO
dbo,vDMPrep,Month,tinyint,,NO
dbo,vDMPrep,OrderNumber,nvarchar,20,NO
dbo,vDMPrep,LineNumber,tinyint,,NO
dbo,vDMPrep,Quantity,smallint,,NO
dbo,vDMPrep,Amount,money,,NO
dbo,vTimeSeries,ModelRegion,nvarchar,56,YES
dbo,vTimeSeries,TimeIndex,int,,YES
dbo,vTimeSeries,Quantity,int,,YES
dbo,vTimeSeries,Amount,money,,YES
dbo,vTimeSeries,CalendarYear,smallint,,NO
dbo,vTimeSeries,Month,tinyint,,NO
dbo,vTimeSeries,ReportingDate,datetime,,YES
dbo,vTargetMail,CustomerKey,int,,NO
dbo,vTargetMail,GeographyKey,int,,YES
dbo,vTargetMail,CustomerAlternateKey,nvarchar,15,NO
dbo,vTargetMail,Title,nvarchar,8,YES
dbo,vTargetMail,FirstName,nvarchar,50,YES
dbo,vTargetMail,MiddleName,nvarchar,50,YES
dbo,vTargetMail,LastName,nvarchar,50,YES
dbo,vTargetMail,NameStyle,bit,,YES
dbo,vTargetMail,BirthDate,date,,YES
dbo,vTargetMail,MaritalStatus,nchar,1,YES
dbo,vTargetMail,Suffix,nvarchar,10,YES
dbo,vTargetMail,Gender,nvarchar,1,YES
dbo,vTargetMail,EmailAddress,nvarchar,50,YES
dbo,vTargetMail,YearlyIncome,money,,YES
dbo,vTargetMail,TotalChildren,tinyint,,YES
dbo,vTargetMail,NumberChildrenAtHome,tinyint,,YES
dbo,vTargetMail,EnglishEducation,nvarchar,40,YES
dbo,vTargetMail,SpanishEducation,nvarchar,40,YES
dbo,vTargetMail,FrenchEducation,nvarchar,40,YES
dbo,vTargetMail,EnglishOccupation,nvarchar,100,YES
dbo,vTargetMail,SpanishOccupation,nvarchar,100,YES
dbo,vTargetMail,FrenchOccupation,nvarchar,100,YES
dbo,vTargetMail,HouseOwnerFlag,nchar,1,YES
dbo,vTargetMail,NumberCarsOwned,tinyint,,YES
dbo,vTargetMail,AddressLine1,nvarchar,120,YES
dbo,vTargetMail,AddressLine2,nvarchar,120,YES
dbo,vTargetMail,Phone,nvarchar,20,YES
dbo,vTargetMail,DateFirstPurchase,date,,YES
dbo,vTargetMail,CommuteDistance,nvarchar,15,YES
dbo,vTargetMail,Region,nvarchar,50,YES
dbo,vTargetMail,Age,int,,YES
dbo,vTargetMail,BikeBuyer,int,,NO
dbo,vAssocSeqOrders,OrderNumber,nvarchar,20,NO
dbo,vAssocSeqOrders,CustomerKey,int,,NO
dbo,vAssocSeqOrders,Region,nvarchar,50,YES
dbo,vAssocSeqOrders,IncomeGroup,varchar,8,NO
dbo,vAssocSeqLineItems,OrderNumber,nvarchar,20,NO
dbo,vAssocSeqLineItems,LineNumber,tinyint,,NO
dbo,vAssocSeqLineItems,Model,nvarchar,50,YES
dbo,DatabaseLog,DatabaseLogID,int,,NO
dbo,DatabaseLog,PostTime,datetime,,NO
dbo,DatabaseLog,DatabaseUser,nvarchar,128,NO
dbo,DatabaseLog,Event,nvarchar,128,NO
dbo,DatabaseLog,Schema,nvarchar,128,YES
dbo,DatabaseLog,Object,nvarchar,128,YES
dbo,DatabaseLog,TSQL,nvarchar,-1,NO
dbo,DatabaseLog,XmlEvent,xml,-1,NO
dbo,AdventureWorksDWBuildVersion,DBVersion,nvarchar,50,YES
dbo,AdventureWorksDWBuildVersion,VersionDate,datetime,,YES
dbo,DimAccount,AccountKey,int,,NO
dbo,DimAccount,ParentAccountKey,int,,YES
dbo,DimAccount,AccountCodeAlternateKey,int,,YES
dbo,DimAccount,ParentAccountCodeAlternateKey,int,,YES
dbo,DimAccount,AccountDescription,nvarchar,50,YES
dbo,DimAccount,AccountType,nvarchar,50,YES
dbo,DimAccount,Operator,nvarchar,50,YES
dbo,DimAccount,CustomMembers,nvarchar,300,YES
dbo,DimAccount,ValueType,nvarchar,50,YES
dbo,DimAccount,CustomMemberOptions,nvarchar,200,YES
dbo,DimCurrency,CurrencyKey,int,,NO
dbo,DimCurrency,CurrencyAlternateKey,nchar,3,NO
dbo,DimCurrency,CurrencyName,nvarchar,50,NO
dbo,DimCustomer,CustomerKey,int,,NO
dbo,DimCustomer,GeographyKey,int,,YES
dbo,DimCustomer,CustomerAlternateKey,nvarchar,15,NO
dbo,DimCustomer,Title,nvarchar,8,YES
dbo,DimCustomer,FirstName,nvarchar,50,YES
dbo,DimCustomer,MiddleName,nvarchar,50,YES
dbo,DimCustomer,LastName,nvarchar,50,YES
dbo,DimCustomer,NameStyle,bit,,YES
dbo,DimCustomer,BirthDate,date,,YES
dbo,DimCustomer,MaritalStatus,nchar,1,YES
dbo,DimCustomer,Suffix,nvarchar,10,YES
dbo,DimCustomer,Gender,nvarchar,1,YES
dbo,DimCustomer,EmailAddress,nvarchar,50,YES
dbo,DimCustomer,YearlyIncome,money,,YES
dbo,DimCustomer,TotalChildren,tinyint,,YES
dbo,DimCustomer,NumberChildrenAtHome,tinyint,,YES
dbo,DimCustomer,EnglishEducation,nvarchar,40,YES
dbo,DimCustomer,SpanishEducation,nvarchar,40,YES
