TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
dbo,vDMPrep,VIEW
dbo,vTimeSeries,VIEW
dbo,vTargetMail,VIEW
dbo,vAssocSeqOrders,VIEW
dbo,vAssocSeqLineItems,VIEW
dbo,DatabaseLog,BASE TABLE
dbo,AdventureWorksDWBuildVersion,BASE TABLE
dbo,DimAccount,BASE TABLE
dbo,DimCurrency,BASE TABLE
dbo,DimCustomer,BASE TABLE
dbo,DimDate,BASE TABLE
dbo,DimDepartmentGroup,BASE TABLE
dbo,DimEmployee,BASE TABLE
dbo,DimGeography,BASE TABLE
dbo,DimOrganization,BASE TABLE
dbo,DimProduct,BASE TABLE
dbo,DimProductCategory,BASE TABLE
dbo,DimProductSubcategory,BASE TABLE
dbo,DimPromotion,BASE TABLE
dbo,DimReseller,BASE TABLE
dbo,DimSalesReason,BASE TABLE
dbo,DimSalesTerritory,BASE TABLE
dbo,DimScenario,BASE TABLE
dbo,FactAdditionalInternationalProductDescription,BASE TABLE
dbo,FactCallCenter,BASE TABLE
dbo,FactCurrencyRate,BASE TABLE
dbo,FactFinance,BASE TABLE
dbo,FactInternetSales,BASE TABLE
dbo,FactInternetSalesReason,BASE TABLE
dbo,FactProductInventory,BASE TABLE
dbo,FactResellerSales,BASE TABLE
dbo,FactSalesQuota,BASE TABLE
dbo,FactSurveyResponse,BASE TABLE
dbo,NewFactCurrencyRate,BASE TABLE
dbo,ProspectiveBuyer,BASE TABLE
dbo,sysdiagrams,BASE TABLE
