TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
HumanResources,EmployeePayHistory,BusinessEntityID,int,,NO
HumanResources,EmployeePayHistory,RateChangeDate,datetime,,NO
HumanResources,EmployeePayHistory,Rate,money,,NO
HumanResources,EmployeePayHistory,PayFrequency,tinyint,,NO
HumanResources,EmployeePayHistory,ModifiedDate,datetime,,NO
Sales,SalesOrderHeaderSalesReason,SalesOrderID,int,,NO
Sales,SalesOrderHeaderSalesReason,SalesReasonID,int,,NO
Sales,SalesOrderHeaderSalesReason,ModifiedDate,datetime,,NO
Sales,SalesPerson,BusinessEntityID,int,,NO
Sales,SalesPerson,TerritoryID,int,,YES
Sales,SalesPerson,SalesQuota,money,,YES
Sales,SalesPerson,Bonus,money,,NO
Sales,SalesPerson,CommissionPct,smallmoney,,NO
Sales,SalesPerson,SalesYTD,money,,NO
Sales,SalesPerson,SalesLastYear,money,,NO
Sales,SalesPerson,rowguid,uniqueidentifier,,NO
Sales,SalesPerson,ModifiedDate,datetime,,NO
Production,Illustration,IllustrationID,int,,NO
Production,Illustration,Diagram,xml,-1,YES
Production,Illustration,ModifiedDate,datetime,,NO
HumanResources,JobCandidate,JobCandidateID,int,,NO
HumanResources,JobCandidate,BusinessEntityID,int,,YES
HumanResources,JobCandidate,Resume,xml,-1,YES
HumanResources,JobCandidate,ModifiedDate,datetime,,NO
Production,Location,LocationID,smallint,,NO
Production,Location,Name,nvarchar,50,NO
Production,Location,CostRate,smallmoney,,NO
Production,Location,Availability,decimal,,NO
Production,Location,ModifiedDate,datetime,,NO
Person,Password,BusinessEntityID,int,,NO
Person,Password,PasswordHash,varchar,128,NO
Person,Password,PasswordSalt,varchar,10,NO
Person,Password,rowguid,uniqueidentifier,,NO
Person,Password,ModifiedDate,datetime,,NO
Sales,SalesPersonQuotaHistory,BusinessEntityID,int,,NO
Sales,SalesPersonQuotaHistory,QuotaDate,datetime,,NO
Sales,SalesPersonQuotaHistory,SalesQuota,money,,NO
Sales,SalesPersonQuotaHistory,rowguid,uniqueidentifier,,NO
Sales,SalesPersonQuotaHistory,ModifiedDate,datetime,,NO
Person,Person,BusinessEntityID,int,,NO
Person,Person,PersonType,nchar,2,NO
Person,Person,NameStyle,bit,,NO
Person,Person,Title,nvarchar,8,YES
Person,Person,FirstName,nvarchar,50,NO
Person,Person,MiddleName,nvarchar,50,YES
Person,Person,LastName,nvarchar,50,NO
Person,Person,Suffix,nvarchar,10,YES
Person,Person,EmailPromotion,int,,NO
Person,Person,AdditionalContactInfo,xml,-1,YES
Person,Person,Demographics,xml,-1,YES
Person,Person,rowguid,uniqueidentifier,,NO
Person,Person,ModifiedDate,datetime,,NO
Sales,SalesReason,SalesReasonID,int,,NO
Sales,SalesReason,Name,nvarchar,50,NO
Sales,SalesReason,ReasonType,nvarchar,50,NO
Sales,SalesReason,ModifiedDate,datetime,,NO
Sales,SalesTaxRate,SalesTaxRateID,int,,NO
Sales,SalesTaxRate,StateProvinceID,int,,NO
Sales,SalesTaxRate,TaxType,tinyint,,NO
Sales,SalesTaxRate,TaxRate,smallmoney,,NO
Sales,SalesTaxRate,Name,nvarchar,50,NO
Sales,SalesTaxRate,rowguid,uniqueidentifier,,NO
Sales,SalesTaxRate,ModifiedDate,datetime,,NO
Sales,PersonCreditCard,BusinessEntityID,int,,NO
Sales,PersonCreditCard,CreditCardID,int,,NO
Sales,PersonCreditCard,ModifiedDate,datetime,,NO
Person,vAdditionalContactInfo,BusinessEntityID,int,,NO
Person,vAdditionalContactInfo,FirstName,nvarchar,50,NO
Person,vAdditionalContactInfo,MiddleName,nvarchar,50,YES
Person,vAdditionalContactInfo,LastName,nvarchar,50,NO
Person,vAdditionalContactInfo,TelephoneNumber,nvarchar,50,YES
Person,vAdditionalContactInfo,TelephoneSpecialInstructions,nvarchar,-1,YES
Person,vAdditionalContactInfo,Street,nvarchar,50,YES
Person,vAdditionalContactInfo,City,nvarchar,50,YES
Person,vAdditionalContactInfo,StateProvince,nvarchar,50,YES
Person,vAdditionalContactInfo,PostalCode,nvarchar,50,YES
Person,vAdditionalContactInfo,CountryRegion,nvarchar,50,YES
Person,vAdditionalContactInfo,HomeAddressSpecialInstructions,nvarchar,-1,YES
Person,vAdditionalContactInfo,EMailAddress,nvarchar,128,YES
Person,vAdditionalContactInfo,EMailSpecialInstructions,nvarchar,-1,YES
Person,vAdditionalContactInfo,EMailTelephoneNumber,nvarchar,50,YES
Person,vAdditionalContactInfo,rowguid,uniqueidentifier,,NO
Person,vAdditionalContactInfo,ModifiedDate,datetime,,NO
Person,PersonPhone,BusinessEntityID,int,,NO
Person,PersonPhone,PhoneNumber,nvarchar,25,NO
Person,PersonPhone,PhoneNumberTypeID,int,,NO
Person,PersonPhone,ModifiedDate,datetime,,NO
HumanResources,vEmployee,BusinessEntityID,int,,NO
HumanResources,vEmployee,Title,nvarchar,8,YES
HumanResources,vEmployee,FirstName,nvarchar,50,NO
HumanResources,vEmployee,MiddleName,nvarchar,50,YES
HumanResources,vEmployee,LastName,nvarchar,50,NO
HumanResources,vEmployee,Suffix,nvarchar,10,YES
HumanResources,vEmployee,JobTitle,nvarchar,50,NO
HumanResources,vEmployee,PhoneNumber,nvarchar,25,YES
HumanResources,vEmployee,PhoneNumberType,nvarchar,50,YES
HumanResources,vEmployee,EmailAddress,nvarchar,50,YES
HumanResources,vEmployee,EmailPromotion,int,,NO
HumanResources,vEmployee,AddressLine1,nvarchar,60,NO
HumanResources,vEmployee,AddressLine2,nvarchar,60,YES
HumanResources,vEmployee,City,nvarchar,30,NO
HumanResources,vEmployee,StateProvinceName,nvarchar,50,NO
HumanResources,vEmployee,PostalCode,nvarchar,15,NO
HumanResources,vEmployee,CountryRegionName,nvarchar,50,NO
HumanResources,vEmployee,AdditionalContactInfo,xml,-1,YES
Sales,SalesTerritory,TerritoryID,int,,NO
Sales,SalesTerritory,Name,nvarchar,50,NO
Sales,SalesTerritory,CountryRegionCode,nvarchar,3,NO
Sales,SalesTerritory,Group,nvarchar,50,NO
Sales,SalesTerritory,SalesYTD,money,,NO
Sales,SalesTerritory,SalesLastYear,money,,NO
Sales,SalesTerritory,CostYTD,money,,NO
Sales,SalesTerritory,CostLastYear,money,,NO
Sales,SalesTerritory,rowguid,uniqueidentifier,,NO
Sales,SalesTerritory,ModifiedDate,datetime,,NO
HumanResources,vEmployeeDepartment,BusinessEntityID,int,,NO
HumanResources,vEmployeeDepartment,Title,nvarchar,8,YES
HumanResources,vEmployeeDepartment,FirstName,nvarchar,50,NO
HumanResources,vEmployeeDepartment,MiddleName,nvarchar,50,YES
HumanResources,vEmployeeDepartment,LastName,nvarchar,50,NO
HumanResources,vEmployeeDepartment,Suffix,nvarchar,10,YES
HumanResources,vEmployeeDepartment,JobTitle,nvarchar,50,NO
HumanResources,vEmployeeDepartment,Department,nvarchar,50,NO
HumanResources,vEmployeeDepartment,GroupName,nvarchar,50,NO
HumanResources,vEmployeeDepartment,StartDate,date,,NO
Person,PhoneNumberType,PhoneNumberTypeID,int,,NO
Person,PhoneNumberType,Name,nvarchar,50,NO
Person,PhoneNumberType,ModifiedDate,datetime,,NO
HumanResources,vEmployeeDepartmentHistory,BusinessEntityID,int,,NO
HumanResources,vEmployeeDepartmentHistory,Title,nvarchar,8,YES
HumanResources,vEmployeeDepartmentHistory,FirstName,nvarchar,50,NO
HumanResources,vEmployeeDepartmentHistory,MiddleName,nvarchar,50,YES
HumanResources,vEmployeeDepartmentHistory,LastName,nvarchar,50,NO
HumanResources,vEmployeeDepartmentHistory,Suffix,nvarchar,10,YES
HumanResources,vEmployeeDepartmentHistory,Shift,nvarchar,50,NO
HumanResources,vEmployeeDepartmentHistory,Department,nvarchar,50,NO
HumanResources,vEmployeeDepartmentHistory,GroupName,nvarchar,50,NO
HumanResources,vEmployeeDepartmentHistory,StartDate,date,,NO
HumanResources,vEmployeeDepartmentHistory,EndDate,date,,YES
Sales,vIndividualCustomer,BusinessEntityID,int,,NO
Sales,vIndividualCustomer,Title,nvarchar,8,YES
Sales,vIndividualCustomer,FirstName,nvarchar,50,NO
Sales,vIndividualCustomer,MiddleName,nvarchar,50,YES
Sales,vIndividualCustomer,LastName,nvarchar,50,NO
Sales,vIndividualCustomer,Suffix,nvarchar,10,YES
Sales,vIndividualCustomer,PhoneNumber,nvarchar,25,YES
Sales,vIndividualCustomer,PhoneNumberType,nvarchar,50,YES
Sales,vIndividualCustomer,EmailAddress,nvarchar,50,YES
Sales,vIndividualCustomer,EmailPromotion,int,,NO
Sales,vIndividualCustomer,AddressType,nvarchar,50,NO
Sales,vIndividualCustomer,AddressLine1,nvarchar,60,NO
Sales,vIndividualCustomer,AddressLine2,nvarchar,60,YES
Sales,vIndividualCustomer,City,nvarchar,30,NO
Sales,vIndividualCustomer,StateProvinceName,nvarchar,50,NO
Sales,vIndividualCustomer,PostalCode,nvarchar,15,NO
Sales,vIndividualCustomer,CountryRegionName,nvarchar,50,NO
Sales,vIndividualCustomer,Demographics,xml,-1,YES
Production,Product,ProductID,int,,NO
Production,Product,Name,nvarchar,50,NO
Production,Product,ProductNumber,nvarchar,25,NO
Production,Product,MakeFlag,bit,,NO
Production,Product,FinishedGoodsFlag,bit,,NO
Production,Product,Color,nvarchar,15,YES
Production,Product,SafetyStockLevel,smallint,,NO
Production,Product,ReorderPoint,smallint,,NO
Production,Product,StandardCost,money,,NO
Production,Product,ListPrice,money,,NO
Production,Product,Size,nvarchar,5,YES
Production,Product,SizeUnitMeasureCode,nchar,3,YES
Production,Product,WeightUnitMeasureCode,nchar,3,YES
Production,Product,Weight,decimal,,YES
Production,Product,DaysToManufacture,int,,NO
Production,Product,ProductLine,nchar,2,YES
Production,Product,Class,nchar,2,YES
Production,Product,Style,nchar,2,YES
Production,Product,ProductSubcategoryID,int,,YES
Production,Product,ProductModelID,int,,YES
Production,Product,SellStartDate,datetime,,NO
Production,Product,SellEndDate,datetime,,YES
Production,Product,DiscontinuedDate,datetime,,YES
Production,Product,rowguid,uniqueidentifier,,NO
Production,Product,ModifiedDate,datetime,,NO
Sales,vPersonDemographics,BusinessEntityID,int,,NO
Sales,vPersonDemographics,TotalPurchaseYTD,money,,YES
Sales,vPersonDemographics,DateFirstPurchase,datetime,,YES
Sales,vPersonDemographics,BirthDate,datetime,,YES
Sales,vPersonDemographics,MaritalStatus,nvarchar,1,YES
Sales,vPersonDemographics,YearlyIncome,nvarchar,30,YES
Sales,vPersonDemographics,Gender,nvarchar,1,YES
Sales,vPersonDemographics,TotalChildren,int,,YES
Sales,vPersonDemographics,NumberChildrenAtHome,int,,YES
Sales,vPersonDemographics,Education,nvarchar,30,YES
Sales,vPersonDemographics,Occupation,nvarchar,30,YES
Sales,vPersonDemographics,HomeOwnerFlag,bit,,YES
Sales,vPersonDemographics,NumberCarsOwned,int,,YES
HumanResources,vJobCandidate,JobCandidateID,int,,NO
HumanResources,vJobCandidate,BusinessEntityID,int,,YES
HumanResources,vJobCandidate,Name.Prefix,nvarchar,30,YES
HumanResources,vJobCandidate,Name.First,nvarchar,30,YES
HumanResources,vJobCandidate,Name.Middle,nvarchar,30,YES
HumanResources,vJobCandidate,Name.Last,nvarchar,30,YES
HumanResources,vJobCandidate,Name.Suffix,nvarchar,30,YES
HumanResources,vJobCandidate,Skills,nvarchar,-1,YES
HumanResources,vJobCandidate,Addr.Type,nvarchar,30,YES
HumanResources,vJobCandidate,Addr.Loc.CountryRegion,nvarchar,100,YES
HumanResources,vJobCandidate,Addr.Loc.State,nvarchar,100,YES
HumanResources,vJobCandidate,Addr.Loc.City,nvarchar,100,YES
HumanResources,vJobCandidate,Addr.PostalCode,nvarchar,20,YES
HumanResources,vJobCandidate,EMail,nvarchar,-1,YES
HumanResources,vJobCandidate,WebSite,nvarchar,-1,YES
HumanResources,vJobCandidate,ModifiedDate,datetime,,NO
HumanResources,vJobCandidateEmployment,JobCandidateID,int,,NO
HumanResources,vJobCandidateEmployment,Emp.StartDate,datetime,,YES
HumanResources,vJobCandidateEmployment,Emp.EndDate,datetime,,YES
HumanResources,vJobCandidateEmployment,Emp.OrgName,nvarchar,100,YES
HumanResources,vJobCandidateEmployment,Emp.JobTitle,nvarchar,100,YES
HumanResources,vJobCandidateEmployment,Emp.Responsibility,nvarchar,-1,YES
HumanResources,vJobCandidateEmployment,Emp.FunctionCategory,nvarchar,-1,YES
HumanResources,vJobCandidateEmployment,Emp.IndustryCategory,nvarchar,-1,YES
HumanResources,vJobCandidateEmployment,Emp.Loc.CountryRegion,nvarchar,-1,YES
HumanResources,vJobCandidateEmployment,Emp.Loc.State,nvarchar,-1,YES
HumanResources,vJobCandidateEmployment,Emp.Loc.City,nvarchar,-1,YES
HumanResources,vJobCandidateEducation,JobCandidateID,int,,NO
HumanResources,vJobCandidateEducation,Edu.Level,nvarchar,-1,YES
HumanResources,vJobCandidateEducation,Edu.StartDate,datetime,,YES
HumanResources,vJobCandidateEducation,Edu.EndDate,datetime,,YES
HumanResources,vJobCandidateEducation,Edu.Degree,nvarchar,50,YES
HumanResources,vJobCandidateEducation,Edu.Major,nvarchar,50,YES
HumanResources,vJobCandidateEducation,Edu.Minor,nvarchar,50,YES
HumanResources,vJobCandidateEducation,Edu.GPA,nvarchar,5,YES
HumanResources,vJobCandidateEducation,Edu.GPAScale,nvarchar,5,YES
HumanResources,vJobCandidateEducation,Edu.School,nvarchar,100,YES
HumanResources,vJobCandidateEducation,Edu.Loc.CountryRegion,nvarchar,100,YES
HumanResources,vJobCandidateEducation,Edu.Loc.State,nvarchar,100,YES
HumanResources,vJobCandidateEducation,Edu.Loc.City,nvarchar,100,YES
Production,vProductAndDescription,ProductID,int,,NO
Production,vProductAndDescription,Name,nvarchar,50,NO
Production,vProductAndDescription,ProductModel,nvarchar,50,NO
Production,vProductAndDescription,CultureID,nchar,6,NO
Production,vProductAndDescription,Description,nvarchar,400,NO
Production,vProductModelCatalogDescription,ProductModelID,int,,NO
Production,vProductModelCatalogDescription,Name,nvarchar,50,NO
Production,vProductModelCatalogDescription,Summary,nvarchar,-1,YES
Production,vProductModelCatalogDescription,Manufacturer,nvarchar,-1,YES
Production,vProductModelCatalogDescription,Copyright,nvarchar,30,YES
Production,vProductModelCatalogDescription,ProductURL,nvarchar,256,YES
Production,vProductModelCatalogDescription,WarrantyPeriod,nvarchar,256,YES
Production,vProductModelCatalogDescription,WarrantyDescription,nvarchar,256,YES
Production,vProductModelCatalogDescription,NoOfYears,nvarchar,256,YES
Production,vProductModelCatalogDescription,MaintenanceDescription,nvarchar,256,YES
Production,vProductModelCatalogDescription,Wheel,nvarchar,256,YES
Production,vProductModelCatalogDescription,Saddle,nvarchar,256,YES
Production,vProductModelCatalogDescription,Pedal,nvarchar,256,YES
Production,vProductModelCatalogDescription,BikeFrame,nvarchar,-1,YES
Production,vProductModelCatalogDescription,Crankset,nvarchar,256,YES
Production,vProductModelCatalogDescription,PictureAngle,nvarchar,256,YES
Production,vProductModelCatalogDescription,PictureSize,nvarchar,256,YES
Production,vProductModelCatalogDescription,ProductPhotoID,nvarchar,256,YES
Production,vProductModelCatalogDescription,Material,nvarchar,256,YES
Production,vProductModelCatalogDescription,Color,nvarchar,256,YES
Production,vProductModelCatalogDescription,ProductLine,nvarchar,256,YES
Production,vProductModelCatalogDescription,Style,nvarchar,256,YES
Production,vProductModelCatalogDescription,RiderExperience,nvarchar,1024,YES
Production,vProductModelCatalogDescription,rowguid,uniqueidentifier,,NO
Production,vProductModelCatalogDescription,ModifiedDate,datetime,,NO
Production,vProductModelInstructions,ProductModelID,int,,NO
Production,vProductModelInstructions,Name,nvarchar,50,NO
Production,vProductModelInstructions,Instructions,nvarchar,-1,YES
Production,vProductModelInstructions,LocationID,int,,YES
Production,vProductModelInstructions,SetupHours,decimal,,YES
Production,vProductModelInstructions,MachineHours,decimal,,YES
Production,vProductModelInstructions,LaborHours,decimal,,YES
Production,vProductModelInstructions,LotSize,int,,YES
Production,vProductModelInstructions,Step,nvarchar,1024,YES
Production,vProductModelInstructions,rowguid,uniqueidentifier,,NO
Production,vProductModelInstructions,ModifiedDate,datetime,,NO
Sales,vSalesPerson,BusinessEntityID,int,,NO
Sales,vSalesPerson,Title,nvarchar,8,YES
Sales,vSalesPerson,FirstName,nvarchar,50,NO
Sales,vSalesPerson,MiddleName,nvarchar,50,YES
Sales,vSalesPerson,LastName,nvarchar,50,NO
Sales,vSalesPerson,Suffix,nvarchar,10,YES
Sales,vSalesPerson,JobTitle,nvarchar,50,NO
Sales,vSalesPerson,PhoneNumber,nvarchar,25,YES
Sales,vSalesPerson,PhoneNumberType,nvarchar,50,YES
Sales,vSalesPerson,EmailAddress,nvarchar,50,YES
Sales,vSalesPerson,EmailPromotion,int,,NO
Sales,vSalesPerson,AddressLine1,nvarchar,60,NO
Sales,vSalesPerson,AddressLine2,nvarchar,60,YES
Sales,vSalesPerson,City,nvarchar,30,NO
Sales,vSalesPerson,StateProvinceName,nvarchar,50,NO
Sales,vSalesPerson,PostalCode,nvarchar,15,NO
Sales,vSalesPerson,CountryRegionName,nvarchar,50,NO
Sales,vSalesPerson,TerritoryName,nvarchar,50,YES
Sales,vSalesPerson,TerritoryGroup,nvarchar,50,YES
Sales,vSalesPerson,SalesQuota,money,,YES
Sales,vSalesPerson,SalesYTD,money,,NO
Sales,vSalesPerson,SalesLastYear,money,,NO
Sales,SalesTerritoryHistory,BusinessEntityID,int,,NO
Sales,SalesTerritoryHistory,TerritoryID,int,,NO
Sales,SalesTerritoryHistory,StartDate,datetime,,NO
Sales,SalesTerritoryHistory,EndDate,datetime,,YES
Sales,SalesTerritoryHistory,rowguid,uniqueidentifier,,NO
Sales,SalesTerritoryHistory,ModifiedDate,datetime,,NO
Sales,vSalesPersonSalesByFiscalYears,SalesPersonID,int,,YES
Sales,vSalesPersonSalesByFiscalYears,FullName,nvarchar,152,YES
Sales,vSalesPersonSalesByFiscalYears,JobTitle,nvarchar,50,NO
Sales,vSalesPersonSalesByFiscalYears,SalesTerritory,nvarchar,50,NO
Sales,vSalesPersonSalesByFiscalYears,2002,money,,YES
Sales,vSalesPersonSalesByFiscalYears,2003,money,,YES
Sales,vSalesPersonSalesByFiscalYears,2004,money,,YES
Person,vStateProvinceCountryRegion,StateProvinceID,int,,NO
Person,vStateProvinceCountryRegion,StateProvinceCode,nchar,3,NO
Person,vStateProvinceCountryRegion,IsOnlyStateProvinceFlag,bit,,NO
Person,vStateProvinceCountryRegion,StateProvinceName,nvarchar,50,NO
Person,vStateProvinceCountryRegion,TerritoryID,int,,NO
Person,vStateProvinceCountryRegion,CountryRegionCode,nvarchar,3,NO
Person,vStateProvinceCountryRegion,CountryRegionName,nvarchar,50,NO
Sales,vStoreWithDemographics,BusinessEntityID,int,,NO
Sales,vStoreWithDemographics,Name,nvarchar,50,NO
Sales,vStoreWithDemographics,AnnualSales,money,,YES
Sales,vStoreWithDemographics,AnnualRevenue,money,,YES
Sales,vStoreWithDemographics,BankName,nvarchar,50,YES
Sales,vStoreWithDemographics,BusinessType,nvarchar,5,YES
Sales,vStoreWithDemographics,YearOpened,int,,YES
Sales,vStoreWithDemographics,Specialty,nvarchar,50,YES
Sales,vStoreWithDemographics,SquareFeet,int,,YES
Sales,vStoreWithDemographics,Brands,nvarchar,30,YES
Sales,vStoreWithDemographics,Internet,nvarchar,30,YES
Sales,vStoreWithDemographics,NumberEmployees,int,,YES
Sales,vStoreWithContacts,BusinessEntityID,int,,NO
Sales,vStoreWithContacts,Name,nvarchar,50,NO
Sales,vStoreWithContacts,ContactType,nvarchar,50,NO
Sales,vStoreWithContacts,Title,nvarchar,8,YES
Sales,vStoreWithContacts,FirstName,nvarchar,50,NO
Sales,vStoreWithContacts,MiddleName,nvarchar,50,YES
Sales,vStoreWithContacts,LastName,nvarchar,50,NO
Sales,vStoreWithContacts,Suffix,nvarchar,10,YES
Sales,vStoreWithContacts,PhoneNumber,nvarchar,25,YES
Sales,vStoreWithContacts,PhoneNumberType,nvarchar,50,YES
Sales,vStoreWithContacts,EmailAddress,nvarchar,50,YES
Sales,vStoreWithContacts,EmailPromotion,int,,NO
Production,ScrapReason,ScrapReasonID,smallint,,NO
Production,ScrapReason,Name,nvarchar,50,NO
Production,ScrapReason,ModifiedDate,datetime,,NO
Sales,vStoreWithAddresses,BusinessEntityID,int,,NO
Sales,vStoreWithAddresses,Name,nvarchar,50,NO
Sales,vStoreWithAddresses,AddressType,nvarchar,50,NO
Sales,vStoreWithAddresses,AddressLine1,nvarchar,60,NO
Sales,vStoreWithAddresses,AddressLine2,nvarchar,60,YES
Sales,vStoreWithAddresses,City,nvarchar,30,NO
Sales,vStoreWithAddresses,StateProvinceName,nvarchar,50,NO
Sales,vStoreWithAddresses,PostalCode,nvarchar,15,NO
Sales,vStoreWithAddresses,CountryRegionName,nvarchar,50,NO
Purchasing,vVendorWithContacts,BusinessEntityID,int,,NO
Purchasing,vVendorWithContacts,Name,nvarchar,50,NO
