TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
HumanResources,EmployeePayHistory,BASE TABLE
Sales,SalesOrderHeaderSalesReason,BASE TABLE
Sales,SalesPerson,BASE TABLE
Production,Illustration,BASE TABLE
HumanResources,JobCandidate,BASE TABLE
Production,Location,BASE TABLE
Person,Password,BASE TABLE
Sales,SalesPersonQuotaHistory,BASE TABLE
Person,Person,BASE TABLE
Sales,SalesReason,BASE TABLE
Sales,SalesTaxRate,BASE TABLE
Sales,PersonCreditCard,BASE TABLE
Person,vAdditionalContactInfo,VIEW
Person,PersonPhone,BASE TABLE
HumanResources,vEmployee,VIEW
Sales,SalesTerritory,BASE TABLE
HumanResources,vEmployeeDepartment,VIEW
Person,PhoneNumberType,BASE TABLE
HumanResources,vEmployeeDepartmentHistory,VIEW
Sales,vIndividualCustomer,VIEW
Production,Product,BASE TABLE
Sales,vPersonDemographics,VIEW
HumanResources,vJobCandidate,VIEW
HumanResources,vJobCandidateEmployment,VIEW
HumanResources,vJobCandidateEducation,VIEW
Production,vProductAndDescription,VIEW
Production,vProductModelCatalogDescription,VIEW
Production,vProductModelInstructions,VIEW
Sales,vSalesPerson,VIEW
Sales,SalesTerritoryHistory,BASE TABLE
Sales,vSalesPersonSalesByFiscalYears,VIEW
Person,vStateProvinceCountryRegion,VIEW
Sales,vStoreWithDemographics,VIEW
Sales,vStoreWithContacts,VIEW
Production,ScrapReason,BASE TABLE
Sales,vStoreWithAddresses,VIEW
Purchasing,vVendorWithContacts,VIEW
HumanResources,Shift,BASE TABLE
Purchasing,vVendorWithAddresses,VIEW
Production,ProductCategory,BASE TABLE
Purchasing,ShipMethod,BASE TABLE
Production,ProductCostHistory,BASE TABLE
Production,ProductDescription,BASE TABLE
Sales,ShoppingCartItem,BASE TABLE
Production,ProductDocument,BASE TABLE
dbo,DatabaseLog,BASE TABLE
Production,ProductInventory,BASE TABLE
Sales,SpecialOffer,BASE TABLE
dbo,ErrorLog,BASE TABLE
Production,ProductListPriceHistory,BASE TABLE
Person,Address,BASE TABLE
Sales,SpecialOfferProduct,BASE TABLE
Production,ProductModel,BASE TABLE
Person,AddressType,BASE TABLE
Person,StateProvince,BASE TABLE
Production,ProductModelIllustration,BASE TABLE
dbo,AWBuildVersion,BASE TABLE
Production,ProductModelProductDescriptionCulture,BASE TABLE
Production,BillOfMaterials,BASE TABLE
Sales,Store,BASE TABLE
Production,ProductPhoto,BASE TABLE
Production,ProductProductPhoto,BASE TABLE
Production,TransactionHistory,BASE TABLE
Production,ProductReview,BASE TABLE
Person,BusinessEntity,BASE TABLE
Production,TransactionHistoryArchive,BASE TABLE
Production,ProductSubcategory,BASE TABLE
Person,BusinessEntityAddress,BASE TABLE
Purchasing,ProductVendor,BASE TABLE
Person,BusinessEntityContact,BASE TABLE
Production,UnitMeasure,BASE TABLE
Purchasing,Vendor,BASE TABLE
Person,ContactType,BASE TABLE
Sales,CountryRegionCurrency,BASE TABLE
Person,CountryRegion,BASE TABLE
Production,WorkOrder,BASE TABLE
Purchasing,PurchaseOrderDetail,BASE TABLE
Sales,CreditCard,BASE TABLE
Production,Culture,BASE TABLE
Production,WorkOrderRouting,BASE TABLE
Sales,Currency,BASE TABLE
Purchasing,PurchaseOrderHeader,BASE TABLE
Sales,CurrencyRate,BASE TABLE
Sales,Customer,BASE TABLE
HumanResources,Department,BASE TABLE
Production,Document,BASE TABLE
Sales,SalesOrderDetail,BASE TABLE
Person,EmailAddress,BASE TABLE
HumanResources,Employee,BASE TABLE
Sales,SalesOrderHeader,BASE TABLE
HumanResources,EmployeeDepartmentHistory,BASE TABLE
