TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
dbo,DimBroker,SK_BrokerID,INTEGER,,NO
dbo,DimBroker,BrokerID,INTEGER,,NO
dbo,DimBroker,ManagerID,INTEGER,,YES
dbo,DimBroker,FirstName,CHAR(50),,NO
dbo,DimBroker,LastName,CHAR(50),,NO
dbo,DimBroker,MiddleInitial,CHAR(1),,YES
dbo,DimBroker,Branch,CHAR(50),,YES
dbo,DimBroker,Office,CHAR(50),,YES
dbo,DimBroker,Phone,CHAR(14),,YES
dbo,DimBroker,IsCurrent,BIT,,NO
dbo,DimBroker,BatchID,INTEGER,,NO
dbo,DimBroker,EffectiveDate,DATE,,NO
dbo,DimBroker,EndDate,DATE,,NO
dbo,DimCustomer,SK_CustomerID,INTEGER,,NO
dbo,DimCustomer,CustomerID,INTEGER,,NO
dbo,DimCustomer,TaxID,CHAR(20),,NO
dbo,DimCustomer,Status,CHAR(10),,NO
dbo,DimCustomer,LastName,CHAR(30),,NO
dbo,DimCustomer,FirstName,CHAR(30),,NO
dbo,DimCustomer,MiddleInitial,CHAR(1),,YES
dbo,DimCustomer,Gender,CHAR(1),,YES
dbo,DimCustomer,Tier,INTEGER,,YES
dbo,DimCustomer,DOB,DATE,,NO
dbo,DimCustomer,AddressLine1,VARCHAR(80),,NO
dbo,DimCustomer,AddressLine2,VARCHAR(80),,YES
dbo,DimCustomer,PostalCode,CHAR(12),,NO
dbo,DimCustomer,City,CHAR(25),,NO
dbo,DimCustomer,StateProv,CHAR(20),,NO
dbo,DimCustomer,Country,CHAR(24),,YES
dbo,DimCustomer,Phone1,CHAR(30),,YES
dbo,DimCustomer,Phone2,CHAR(30),,YES
dbo,DimCustomer,Phone3,CHAR(30),,YES
dbo,DimCustomer,Email1,CHAR(50),,YES
dbo,DimCustomer,Email2,CHAR(50),,YES
dbo,DimCustomer,NationalTaxRateDesc,VARCHAR(50),,YES
dbo,DimCustomer,NationalTaxRate,"NUMERIC(6,5)",,YES
dbo,DimCustomer,LocalTaxRateDesc,VARCHAR(50),,YES
dbo,DimCustomer,LocalTaxRate,"NUMERIC(6,5)",,YES
dbo,DimCustomer,AgencyID,CHAR(30),,YES
dbo,DimCustomer,CreditRating,INTEGER,,YES
dbo,DimCustomer,NetWorth,NUMERIC(10),,YES
dbo,DimCustomer,MarketingNameplate,VARCHAR(100),,YES
dbo,DimCustomer,IsCurrent,BIT,,NO
dbo,DimCustomer,BatchID,INTEGER,,NO
dbo,DimCustomer,EffectiveDate,DATE,,NO
dbo,DimCustomer,EndDate,DATE,,NO
dbo,DimAccount,SK_AccountID,INTEGER,,NO
dbo,DimAccount,AccountID,INTEGER,,NO
dbo,DimAccount,SK_BrokerID,INTEGER,,NO
dbo,DimAccount,SK_CustomerID,INTEGER,,NO
dbo,DimAccount,Status,CHAR(10),,NO
dbo,DimAccount,AccountDesc,VARCHAR(50),,YES
dbo,DimAccount,TaxStatus,INTEGER,,NO
dbo,DimAccount,IsCurrent,BIT,,NO
dbo,DimAccount,BatchID,INTEGER,,NO
dbo,DimAccount,EffectiveDate,DATE,,NO
dbo,DimAccount,EndDate,DATE,,NO
dbo,DimCompany,SK_CompanyID,INTEGER,,NO
dbo,DimCompany,CompanyID,INTEGER,,NO
dbo,DimCompany,Status,CHAR(10),,NO
dbo,DimCompany,Name,CHAR(60),,NO
dbo,DimCompany,Industry,CHAR(50),,NO
dbo,DimCompany,SPrating,CHAR(4),,YES
dbo,DimCompany,isLowGrade,BIT,,YES
dbo,DimCompany,CEO,CHAR(100),,NO
dbo,DimCompany,AddressLine1,CHAR(80),,YES
dbo,DimCompany,AddressLine2,CHAR(80),,YES
dbo,DimCompany,PostalCode,CHAR(12),,NO
dbo,DimCompany,City,CHAR(25),,NO
dbo,DimCompany,StateProv,CHAR(20),,NO
dbo,DimCompany,Country,CHAR(24),,YES
dbo,DimCompany,Description,CHAR(150),,NO
dbo,DimCompany,FoundingDate,DATE,,YES
dbo,DimCompany,IsCurrent,BIT,,NO
dbo,DimCompany,BatchID,NUMERIC(5),,NO
dbo,DimCompany,EffectiveDate,DATE,,NO
dbo,DimCompany,EndDate,DATE,,NO
dbo,DimDate,SK_DateID,INTEGER,,NO
dbo,DimDate,DateValue,DATE,,NO
dbo,DimDate,DateDesc,CHAR(20),,NO
dbo,DimDate,CalendarYearID,NUMERIC(4),,NO
dbo,DimDate,CalendarYearDesc,CHAR(20),,NO
dbo,DimDate,CalendarQtrID,NUMERIC(5),,NO
dbo,DimDate,CalendarQtrDesc,CHAR(20),,NO
dbo,DimDate,CalendarMonthID,NUMERIC(6),,NO
dbo,DimDate,CalendarMonthDesc,CHAR(20),,NO
dbo,DimDate,CalendarWeekID,NUMERIC(6),,NO
dbo,DimDate,CalendarWeekDesc,CHAR(20),,NO
dbo,DimDate,DayOfWeekNumeric,NUMERIC(1),,NO
dbo,DimDate,DayOfWeekDesc,CHAR(10),,NO
dbo,DimDate,FiscalYearID,NUMERIC(4),,NO
dbo,DimDate,FiscalYearDesc,CHAR(20),,NO
dbo,DimDate,FiscalQtrID,NUMERIC(5),,NO
dbo,DimDate,FiscalQtrDesc,CHAR(20),,NO
dbo,DimDate,HolidayFlag,BIT,,YES
dbo,DimSecurity,SK_SecurityID,INTEGER,,NO
dbo,DimSecurity,Symbol,CHAR(15),,NO
dbo,DimSecurity,Issue,CHAR(6),,NO
dbo,DimSecurity,Status,CHAR(10),,NO
dbo,DimSecurity,Name,CHAR(70),,NO
dbo,DimSecurity,ExchangeID,CHAR(6),,NO
dbo,DimSecurity,SK_CompanyID,INTEGER,,NO
dbo,DimSecurity,SharesOutstanding,INTEGER,,NO
dbo,DimSecurity,FirstTrade,DATE,,NO
dbo,DimSecurity,FirstTradeOnExchange,DATE,,NO
dbo,DimSecurity,Dividend,INTEGER,,NO
dbo,DimSecurity,IsCurrent,BIT,,NO
dbo,DimSecurity,BatchID,NUMERIC(5),,NO
dbo,DimSecurity,EffectiveDate,DATE,,NO
dbo,DimSecurity,EndDate,DATE,,NO
dbo,DimTime,SK_TimeID,INTEGER,,NO
dbo,DimTime,TimeValue,TIME,,NO
dbo,DimTime,HourID,NUMERIC(2),,NO
dbo,DimTime,HourDesc,CHAR(20),,NO
dbo,DimTime,MinuteID,NUMERIC(2),,NO
dbo,DimTime,MinuteDesc,CHAR(20),,NO
dbo,DimTime,SecondID,NUMERIC(2),,NO
dbo,DimTime,SecondDesc,CHAR(20),,NO
dbo,DimTime,MarketHoursFlag,BIT,,YES
dbo,DimTime,OfficeHoursFlag,BIT,,YES
dbo,DimTrade,TradeID,INTEGER,,NO
dbo,DimTrade,SK_BrokerID,INTEGER,,YES
dbo,DimTrade,SK_CreateDateID,INTEGER,,NO
dbo,DimTrade,SK_CreateTimeID,INTEGER,,NO
dbo,DimTrade,SK_CloseDateID,INTEGER,,YES
dbo,DimTrade,SK_CloseTimeID,INTEGER,,YES
dbo,DimTrade,Status,CHAR(10),,NO
dbo,DimTrade,DT_Type,CHAR(12),,NO
dbo,DimTrade,CashFlag,BIT,,NO
dbo,DimTrade,SK_SecurityID,INTEGER,,NO
dbo,DimTrade,SK_CompanyID,INTEGER,,NO
dbo,DimTrade,Quantity,"NUMERIC(6,0)",,NO
dbo,DimTrade,BidPrice,"NUMERIC(8,2)",,NO
dbo,DimTrade,SK_CustomerID,INTEGER,,NO
dbo,DimTrade,SK_AccountID,INTEGER,,NO
dbo,DimTrade,ExecutedBy,CHAR(64),,NO
dbo,DimTrade,TradePrice,"NUMERIC(8,2)",,YES
dbo,DimTrade,Fee,"NUMERIC(10,2)",,YES
dbo,DimTrade,Commission,"NUMERIC(10,2)",,YES
dbo,DimTrade,Tax,"NUMERIC(10,2)",,YES
dbo,DimTrade,BatchID,NUMERIC(5),,NO
dbo,FactCashBalances,SK_CustomerID,INTEGER,,NO
dbo,FactCashBalances,SK_AccountID,INTEGER,,NO
dbo,FactCashBalances,SK_DateID,INTEGER,,NO
dbo,FactCashBalances,Cash,"NUMERIC(15,2)",,NO
dbo,FactCashBalances,BatchID,NUMERIC(5),,YES
dbo,FactHoldings,TradeID,INTEGER,,NO
dbo,FactHoldings,CurrentTradeID,INTEGER,,NO
dbo,FactHoldings,SK_CustomerID,INTEGER,,NO
dbo,FactHoldings,SK_AccountID,INTEGER,,NO
dbo,FactHoldings,SK_SecurityID,INTEGER,,NO
dbo,FactHoldings,SK_CompanyID,INTEGER,,NO
dbo,FactHoldings,SK_DateID,INTEGER,,NO
dbo,FactHoldings,SK_TimeID,INTEGER,,NO
