ForeignKeyName,ChildTable,ChildColumn,ParentTable,ParentColumn
FK_DimAccount_DimBroker,DimAccount,SK_BrokerID,DimBroker,SK_BrokerID
FK_DimAccount_DimCustomer,DimAccount,SK_CustomerID,DimCustomer,SK_CustomerID
FK_DimSecurity_DimCompany,DimSecurity,SK_CompanyID,DimCompany,SK_CompanyID
FK_DimTrade_DimBroker,DimTrade,SK_BrokerID,DimBroker,SK_BrokerID
FK_DimTrade_DimDate_Create,DimTrade,SK_CreateDateID,DimDate,SK_DateID
FK_DimTrade_DimTime_Create,DimTrade,SK_CreateTimeID,DimTime,SK_TimeID
FK_DimTrade_DimDate_Close,DimTrade,SK_CloseDateID,DimDate,SK_DateID
FK_DimTrade_DimTime_Close,DimTrade,SK_CloseTimeID,DimTime,SK_TimeID
FK_DimTrade_DimSecurity,DimTrade,SK_SecurityID,DimSecurity,SK_SecurityID
FK_DimTrade_DimCompany,DimTrade,SK_CompanyID,DimCompany,SK_CompanyID
FK_DimTrade_DimCustomer,DimTrade,SK_CustomerID,DimCustomer,SK_CustomerID
FK_DimTrade_DimAccount,DimTrade,SK_AccountID,DimAccount,SK_AccountID
FK_FactCashBal_DimCustomer,FactCashBalances,SK_CustomerID,DimCustomer,SK_CustomerID
FK_FactCashBal_DimAccount,FactCashBalances,SK_AccountID,DimAccount,SK_AccountID
FK_FactCashBal_DimDate,FactCashBalances,SK_DateID,DimDate,SK_DateID
FK_FactHoldings_DimCustomer,FactHoldings,SK_CustomerID,DimCustomer,SK_CustomerID
FK_FactHoldings_DimAccount,FactHoldings,SK_AccountID,DimAccount,SK_AccountID
FK_FactHoldings_DimSecurity,FactHoldings,SK_SecurityID,DimSecurity,SK_SecurityID
FK_FactHoldings_DimCompany,FactHoldings,SK_CompanyID,DimCompany,SK_CompanyID
FK_FactHoldings_DimDate,FactHoldings,SK_DateID,DimDate,SK_DateID
FK_FactHoldings_DimTime,FactHoldings,SK_TimeID,DimTime,SK_TimeID
FK_FactMktHist_DimSecurity,FactMarketHistory,SK_SecurityID,DimSecurity,SK_SecurityID
FK_FactMktHist_DimCompany,FactMarketHistory,SK_CompanyID,DimCompany,SK_CompanyID
FK_FactMktHist_DimDate,FactMarketHistory,SK_DateID,DimDate,SK_DateID
FK_FactWatches_DimCustomer,FactWatches,SK_CustomerID,DimCustomer,SK_CustomerID
FK_FactWatches_DimSecurity,FactWatches,SK_SecurityID,DimSecurity,SK_SecurityID
FK_FactWatches_DimDate_Placed,FactWatches,SK_DateID_DatePlaced,DimDate,SK_DateID
FK_FactWatches_DimDate_Removed,FactWatches,SK_DateID_DateRemoved,DimDate,SK_DateID
FK_Financial_DimCompany,Financial,SK_CompanyID,DimCompany,SK_CompanyID
FK_Prospect_DimDate,Prospect,SK_UpdateDateID,DimDate,SK_DateID
